Timestamp,Name,Age,Gender,How often do you use the Orange Line Train?, What is your primary reason for using the Orange Line Train?,How punctual is the train service in your experience?,How do you rate the efficiency of the queue management system at ticket counters?,"How clean are the train stations, including the platforms and waiting areas?",How do you rate the cleanliness and maintenance of rest-rooms for passenger use? ,How often are the train stations and carriages cleaned and maintained?,How comfortable are the seats in the train carriages for extended journeys?,"Are the train stations and carriages accessible for people with disabilities (e.g., ramps, elevators)?","Is the temperature inside the train carriages comfortable, with appropriate cooling or heating systems?",Do you feel safe while traveling on the Orange Line Metro Train?,Have you ever witnessed or experienced any unsafe situations on the Orange Line Metro Train?,"Are there sufficient security measures, such as guards, CCTV cameras, and emergency response systems, in place?",How helpful and attentive are the staff members in assisting passengers with their needs?,Are real-time updates about train schedules and delays provided effectively?,Are there sufficient banners and information posters/screens inside station's premises?,Are the ticket prices reasonable and affordable for the majority of passengers?,Are there any special discounts or deals available for frequent riders or certain passenger groups?,How satisfied are you with the overall service quality of the Orange Line Metro Train?,How likely are you to recommend the Orange Line Metro Train to others?
2023-02-23 08:51:11,Dr. James Willis,<20,Male,Once or twice a year,Leisure,4,3,1,3,4,3,Don't know,Don't know,No,5,No,3,No,Don't know,Don't know,Don't know,1,2
2023-02-23 22:19:46,Rebecca Sandoval,<20,Male,Once or twice a month,Work,2,2,1,2,1,3,Yes,Yes,Yes,4,Yes,0,Don't know,Yes,Yes,No,2,1
2023-02-24 19:03:03,Christopher Hunter,<20,Male,Once or twice a month,Leisure,1,0,1,2,2,4,Don't know,Yes,Yes,4,Yes,2,Yes,Yes,Yes,Don't know,2,1
2023-02-24 23:13:46,Austin Heath,<20,Female,Once or twice a year,To go for a coding competition ,6,2,2,3,2,4,Don't know,No,Yes,5,Maybe,3,Yes,Don't know,No,Don't know,2,4
2023-02-25 06:40:48,Elizabeth Russell,<20,Female,Everday,Leisure,5,3,1,5,4,3,Don't know,Don't know,Yes,1,No,1,No,Yes,Don't know,No,2,2
2023-02-26 00:52:01,Amy Davidson,50+,Male,Everday,Study,2,3,1,1,4,2,Don't know,Yes,Yes,5,Yes,2,Yes,Yes,Yes,Yes,1,4
2023-02-27 03:18:03,Dustin Greer,<20,Male,Everday,Leisure,4,3,2,3,2,6,No,Yes,Yes,5,Maybe,1,Don't know,Yes,Yes,Don't know,2,1
2023-02-27 16:08:02,Andrew Butler,<20,Male,Once or twice a week,Leisure,5,3,3,2,2,5,No,Yes,Yes,4,Maybe,2,Don't know,No,No,Don't know,3,3
2023-02-27 18:04:08,Scott Love DDS,<20,Male,Once or twice a year,Leisure,1,3,1,2,2,2,No,Don't know,Yes,3,Maybe,3,Don't know,No,No,No,2,3
2023-02-28 12:01:43,William Jenkins,21-30,Male,Once or twice a month,Work,1,3,1,1,1,1,Yes,Yes,Yes,1,Yes,2,Yes,Yes,No,No,1,1
2023-03-01 08:24:18,Jasmine Williams,<20,Male,Once or twice a month,Entertainment ,1,2,2,3,1,6,Yes,Yes,Yes,2,Yes,2,Yes,Don't know,Yes,Yes,1,1
2023-03-01 19:45:34,Christian Johnson,50+,Male,Everday,Leisure,1,3,1,2,1,3,Don't know,Yes,Yes,5,Yes,3,Yes,Yes,Yes,No,2,1
2023-03-02 01:30:31,Lorraine Garcia,<20,Male,Everday,Work,1,3,1,2,2,2,Yes,Yes,Yes,5,No,1,No,Yes,Yes,No,1,1
2023-03-02 05:20:58,Hannah Reyes,21-30,Female,Everday,Study,2,1,1,2,1,2,No,Yes,Yes,2,Yes,1,Yes,Yes,Yes,No,1,1
2023-03-02 08:18:50,Katherine Ibarra,<20,Male,Everday,Study,2,2,1,3,2,1,Yes,Yes,Yes,5,Yes,2,Yes,Yes,Yes,No,2,1
2023-03-02 15:25:21,Julie Chen,21-30,Male,Everday,Study,2,2,1,2,1,6,Yes,Yes,Yes,3,Yes,3,No,Yes,Yes,No,2,1
2023-03-03 16:03:03,Caleb Fleming,<20,Male,Once or twice a week,Study,3,2,1,1,1,1,Don't know,Yes,Yes,4,Yes,1,Yes,Yes,Yes,No,1,1
2023-03-03 22:14:31,Rachel Martinez,<20,Male,Once or twice a year,University ,2,3,2,2,2,2,Yes,Don't know,No,1,Maybe,2,Don't know,Don't know,Yes,Don't know,2,5
2023-03-04 14:37:24,Rebecca Stark,<20,Male,Everday,Study,1,1,1,2,1,1,Yes,Yes,Yes,5,Yes,1,Yes,Yes,Yes,Yes,1,1
2023-03-06 19:48:20,Melanie Patrick,<20,Female,Once or twice a year,Study,3,2,0,3,3,4,No,No,Yes,4,Maybe,3,No,Yes,Yes,No,2,4
2023-03-08 01:58:01,Rachel Lopez,<20,Male,Everday,Leisure,6,2,2,3,6,4,Don't know,Don't know,No,4,Maybe,2,No,Don't know,Yes,Don't know,2,2
2023-03-08 14:38:40,Jill Sherman,<20,Male,Everday,Study,1,4,1,2,2,1,Yes,Yes,Yes,4,Yes,1,Yes,Yes,Yes,No,1,1
2023-03-08 21:17:50,Richard Jones,<20,Female,Once or twice a year,Leisure,4,2,1,3,2,4,No,No,No,5,Maybe,2,Don't know,No,Yes,No,2,2
2023-03-09 00:21:18,Timothy Tucker,<20,Male,Everday,Study,6,1,1,2,2,2,Don't know,Yes,Yes,2,Yes,3,Yes,Yes,No,No,2,1
2023-03-11 04:37:18,Theresa Estrada,<20,Male,Everday,Work,1,5,1,3,2,1,Yes,Yes,Yes,5,Yes,1,Yes,Yes,Yes,Don't know,2,1
2023-03-11 16:20:54,Cindy Davis,<20,Female,Once or twice a year,Leisure,4,2,2,3,2,3,No,No,Yes,4,Maybe,2,Don't know,Don't know,Don't know,Yes,2,2
2023-03-12 03:06:32,Stacy Chan,<20,Male,Once or twice a month,Study,3,3,2,2,1,3,Yes,No,Yes,3,Maybe,2,No,Yes,Don't know,No,1,5
2023-03-12 09:30:23,Jennifer Torres,<20,Male,Once or twice a month,Study,4,2,1,4,2,2,Yes,Don't know,Yes,4,No,3,No,Yes,Yes,Don't know,2,1
2023-03-13 07:17:47,Jeffery Knight,<20,Male,Once or twice a year,Study,1,2,1,3,2,3,Don't know,Don't know,No,6,Yes,3,Yes,No,Yes,No,2,2
2023-03-14 04:25:47,Taylor Perry,<20,Female,Once or twice a year,Leisure,6,3,2,2,4,2,Don't know,Yes,Yes,5,Maybe,6,Yes,No,Yes,No,3,2
2023-03-14 17:47:16,Raymond Navarro,21-30,Male,Once or twice a month,Work,1,2,1,2,2,2,Yes,Yes,Yes,5,Yes,1,Yes,Yes,Yes,No,2,1
2023-03-14 22:08:22,Jeremy Parks,<20,Male,Once or twice a year,Work,6,2,1,3,4,2,Don't know,No,Yes,5,Maybe,2,No,Yes,No,No,2,2
2023-03-15 03:17:23,Thomas Rivers,<20,Male,Everday,Study,5,2,2,2,2,4,Yes,Yes,Yes,4,Yes,1,Yes,No,Yes,No,2,2
2023-03-15 09:23:51,Angela Jones,<20,Male,Once or twice a week,Study,1,3,1,2,2,1,No,Yes,Yes,3,Yes,2,Don't know,Yes,Yes,No,1,2
2023-03-15 22:42:14,Allen Bailey,<20,Male,Once or twice a month,Work,1,2,1,1,1,2,Yes,Yes,Yes,5,Yes,2,No,Yes,Yes,No,1,1
2023-03-16 14:57:05,William Fuentes,<20,Male,Everday,Study,1,0,1,2,1,1,Yes,Yes,Yes,5,Yes,1,Yes,Yes,Yes,No,1,1
2023-03-16 17:36:24,Steven Clark,<20,Male,Once or twice a month,Study,1,2,0,6,3,3,Yes,No,Yes,4,Maybe,3,Yes,Yes,No,No,2,2
2023-03-17 13:30:05,Michael Mays,<20,Male,Everday,Study,1,0,1,1,1,2,Yes,Yes,Yes,4,Yes,1,Yes,Yes,Yes,No,1,1
2023-03-18 05:17:57,Adam Wood,<20,Male,Everday,Study,1,2,1,1,3,2,Yes,Yes,Yes,5,Yes,3,No,Yes,Yes,Yes,1,1
2023-03-18 07:11:32,Larry Villarreal,<20,Male,Everday,Study,5,3,1,3,1,5,Don't know,No,Yes,2,Maybe,7,Yes,Yes,Yes,Yes,3,1
2023-03-18 13:35:47,Brian Cooper,21-30,Male,Everday,Study,1,0,1,1,1,2,Yes,Yes,Yes,5,Yes,1,Yes,Yes,Yes,No,1,1
2023-03-19 05:36:11,Beverly Levy,<20,Female,Everday,Study,1,5,1,2,1,2,Yes,Yes,Yes,5,Yes,6,Yes,Yes,Yes,No,1,2
2023-03-19 13:38:24,John Carter,21-30,Male,Everday,Study,2,0,1,1,2,1,Yes,Yes,Yes,4,Maybe,2,Yes,Yes,Yes,Yes,1,1
2023-03-20 10:06:48,Tina Fields,21-30,Male,Everday,Study,1,2,1,1,1,1,Yes,Yes,Yes,5,Yes,2,Yes,Yes,Yes,No,1,1
2023-03-21 06:05:13,Willie Garcia,21-30,Male,Once or twice a week,Study,1,0,1,3,2,2,Yes,Yes,Yes,5,No,2,Yes,Yes,Yes,No,1,1
2023-03-21 06:59:19,Brooke Hurst,<20,Male,Once or twice a week,Study,2,1,2,1,4,2,Yes,Yes,Yes,5,No,3,No,Yes,No,No,2,1
2023-03-22 09:45:20,Regina Stewart,<20,Male,Everday,Study,5,3,1,6,2,4,Don't know,Yes,Yes,2,Maybe,3,Don't know,No,Don't know,Don't know,1,1
2023-03-23 19:45:05,Paul Carter,21-30,Male,Everday,Study,1,3,1,3,1,1,Yes,Yes,Yes,5,Yes,1,Yes,Yes,No,No,1,1
2023-03-23 22:02:06,Angel Anderson,<20,Female,Once or twice a year,Leisure,5,3,1,3,3,4,Don't know,Don't know,No,4,Maybe,3,Don't know,Don't know,Yes,Don't know,3,5
2023-03-25 03:24:38,Blake Jones,21-30,Male,Everday,Leisure,1,2,2,2,2,3,Yes,Yes,Yes,4,Yes,3,Yes,Yes,Yes,No,1,1
2023-03-25 10:46:31,Juan Yang,21-30,Male,Once or twice a month,Work,1,2,1,2,1,2,Yes,Yes,Yes,5,Yes,2,Yes,Yes,Yes,No,1,1
2023-03-25 14:08:15,Jay Walsh,<20,Male,Once or twice a year,Leisure,6,2,1,5,2,2,Don't know,Don't know,No,3,Maybe,3,Don't know,Don't know,Don't know,No,2,2
2023-03-25 17:58:37,Jeremy Wood,<20,Male,Everday,Study,1,2,2,3,1,4,Yes,Yes,Yes,4,Maybe,1,Yes,Yes,Yes,No,2,1
2023-03-26 00:32:33,Amy Ortiz,21-30,Female,Everday,Study,6,2,1,2,2,1,No,Don't know,Yes,4,Yes,2,Yes,Yes,Yes,No,1,2
2023-03-26 09:51:07,Nicholas Flores,<20,Male,Everday,Work,1,0,1,2,1,1,Yes,Yes,Yes,5,Yes,3,Yes,Yes,Yes,No,1,1
2023-03-26 15:51:59,Edward Ruiz,41-50,Male,Everday,Work,2,2,1,2,1,3,Yes,Don't know,Yes,5,No,1,Yes,Yes,Yes,No,1,1
2023-03-26 21:09:44,Rebecca Hill,41-50,Female,Once or twice a week,Work,2,3,1,2,1,4,Yes,Yes,Yes,5,Yes,2,Yes,Yes,Yes,Don't know,2,2
2023-03-26 23:39:18,Melissa Flynn,<20,Male,Once or twice a week,Study,2,4,1,2,1,1,Yes,Yes,Yes,5,Yes,2,Yes,Yes,Yes,No,1,1
2023-03-27 04:41:59,James Saunders,<20,Female,Once or twice a month,Leisure,5,3,1,2,4,4,No,No,Yes,5,Yes,2,Don't know,Don't know,Don't know,Don't know,2,1
2023-03-28 05:21:24,David Chavez,<20,Male,Once or twice a year,Work,1,3,2,5,2,3,No,No,No,3,No,3,Don't know,Don't know,Yes,Don't know,2,2
2023-03-28 12:01:55,Brenda Ford,<20,Male,Everday,Leisure,1,3,1,2,1,2,Yes,Yes,Yes,2,Maybe,1,Yes,Yes,Yes,No,2,1
2023-03-28 12:24:32,Karen Harris,21-30,Male,Once or twice a month,Study,2,2,1,2,1,1,Yes,Yes,Yes,5,Yes,1,Yes,Yes,Yes,No,1,1
2023-03-29 13:46:20,Michael Montgomery,<20,Male,Once or twice a year,Leisure,5,4,2,3,2,1,Don't know,No,Yes,3,No,2,Don't know,No,No,Don't know,3,2
2023-03-30 11:02:52,Edwin Mack,<20,Female,Once or twice a month,Leisure,3,1,1,5,1,5,Yes,No,Yes,5,Yes,2,No,No,Yes,Yes,6,3
2023-03-30 18:19:06,Kimberly Moore,21-30,Male,Everday,Study,1,2,1,3,2,2,Yes,No,Yes,4,Yes,2,Yes,Don't know,No,No,2,1
2023-03-31 01:08:58,Kaitlin Gregory,<20,Female,Once or twice a year,Leisure,5,3,1,3,2,3,Don't know,Don't know,Yes,4,Maybe,3,Don't know,Don't know,No,Don't know,2,6
2023-03-31 03:58:47,Crystal Gill,<20,Male,Everday,Study,2,2,1,2,1,1,Yes,Yes,Yes,5,Yes,1,Yes,Yes,Yes,No,1,1
2023-03-31 03:59:16,William Martinez,<20,Male,Everday,Leisure,1,2,1,2,1,3,Yes,Yes,Yes,5,Yes,3,Don't know,Yes,Yes,No,2,1
2023-03-31 12:36:59,Amanda Scott,21-30,Male,Everday,Work,1,2,1,4,1,1,Yes,Yes,Yes,4,Yes,1,Yes,Yes,No,No,1,2
2023-03-31 21:12:27,Lauren Foster,<20,Female,Everday,Study,1,-1,1,1,2,2,Yes,Yes,Yes,5,Yes,3,Yes,Yes,Yes,No,1,1
2023-03-31 22:51:26,David Campbell,<20,Female,Everday,Study,1,2,1,2,2,2,Yes,No,Yes,4,Maybe,2,No,No,Yes,No,1,1
2023-04-01 13:35:36,Susan Larson,<20,Male,Everday,Leisure,1,2,1,2,2,3,Don't know,Don't know,Yes,0,Maybe,2,Yes,Yes,No,Yes,2,2
2023-04-01 14:44:03,Ricky Torres,<20,Male,Once or twice a year,Leisure,5,3,1,1,2,6,Yes,Yes,Yes,5,No,2,Yes,Yes,Yes,No,1,1
2023-04-02 01:59:53,Joseph Wright,<20,Female,Once or twice a year,Leisure,5,3,1,3,2,3,Don't know,Don't know,No,3,Maybe,3,Don't know,Don't know,Yes,Don't know,2,4
2023-04-02 03:05:14,Carla Perry,<20,Male,Everday,Study,1,5,2,3,2,2,Yes,Don't know,Yes,2,Maybe,3,No,Yes,Yes,Don't know,2,2
2023-04-02 09:00:15,Joseph Berry,41-50,Female,Once or twice a month,Study,2,0,2,3,2,3,No,Don't know,Yes,2,Maybe,5,No,Yes,No,Don't know,1,4
2023-04-02 18:10:49,Kim Jenkins,21-30,Male,Everday,Leisure,1,3,1,2,2,2,Yes,Yes,Yes,2,Yes,1,Yes,Yes,Yes,Yes,1,1
2023-04-03 00:44:57,Jennifer Osborne,21-30,Male,Everday,Study,2,0,1,2,1,2,Yes,Yes,Yes,5,Yes,3,Yes,Yes,Yes,No,1,1
2023-04-03 04:50:14,Ebony Watson,<20,Male,Once or twice a year,Work,1,3,1,3,1,2,Don't know,Yes,Yes,2,Yes,1,Yes,No,Yes,No,1,1
2023-04-03 07:32:02,Brooke Terry,<20,Male,Everday,Work,1,2,1,2,1,1,Yes,Yes,Yes,4,Yes,3,Yes,Yes,Yes,No,1,5
2023-04-04 01:10:52,Kevin Taylor,<20,Male,Everday,Work,2,1,1,3,3,4,No,No,Yes,5,Maybe,2,Don't know,Yes,Yes,Don't know,2,2
2023-04-04 10:43:18,Heather Kennedy,<20,Male,Once or twice a month,Study,5,2,3,3,2,2,Yes,Yes,Yes,3,Yes,2,Yes,Yes,No,No,5,3
2023-04-05 02:39:05,John Neal,21-30,Male,Once or twice a year,Market or other places ,1,3,2,2,2,2,Yes,No,Yes,5,Yes,3,Yes,Yes,Yes,Yes,2,1
2023-04-05 09:01:03,Matthew Brown,<20,Male,Once or twice a year,Leisure,1,2,3,2,2,2,Yes,Yes,Yes,1,Yes,1,No,Yes,Yes,No,2,2
2023-04-05 10:40:36,Patrick Williams,21-30,Male,Everday,Study,1,1,1,1,1,1,Yes,Yes,Yes,5,Yes,1,Yes,Yes,Yes,No,1,1
2023-04-05 11:49:31,Allison Ruiz,<20,Male,Everday,Study,1,1,1,2,1,1,Yes,Yes,Yes,5,Yes,1,Yes,Yes,Yes,Don't know,1,1
2023-04-05 13:53:23,Alexandra Rose,<20,Male,Everday,Work,1,1,1,1,1,3,Yes,Yes,Yes,5,Yes,2,Yes,Yes,Yes,No,0,1
2023-04-05 17:28:58,Sean Parks,<20,Male,Once or twice a month,Leisure,1,1,2,3,2,3,Don't know,Yes,Yes,5,Maybe,6,No,Yes,Yes,Don't know,1,1
2023-04-06 03:24:59,Maureen Smith,<20,Male,Everday,Work,4,2,1,1,1,2,Yes,Yes,Yes,5,Yes,1,Yes,Yes,Yes,No,2,1
2023-04-06 23:36:51,Marc Key,50+,Female,Everday,University ,1,3,1,3,2,4,Yes,Yes,Yes,3,Maybe,1,Don't know,Yes,No,No,1,1
2023-04-07 13:21:03,Melissa Acosta,21-30,Male,Everday,Study,1,2,1,1,1,1,Yes,Yes,Yes,5,Yes,1,Yes,Yes,Yes,No,1,1
2023-04-07 13:42:09,Paul Roberts,<20,Male,Once or twice a month,Work,1,4,1,1,2,4,Yes,Yes,Yes,5,Yes,1,No,Yes,Yes,No,2,1
2023-04-08 06:50:33,Joel Rivera,<20,Female,Once or twice a year,Study,5,2,2,3,4,2,Don't know,Yes,Yes,2,Maybe,3,Don't know,Don't know,Yes,Don't know,2,3
2023-04-08 08:39:35,Javier Prince,<20,Male,Everday,Study,1,2,1,1,1,1,Yes,Yes,Yes,5,Yes,1,Yes,Yes,Yes,Yes,2,1
2023-04-09 03:47:51,Jermaine Fletcher,<20,Female,Everday,Study,1,3,1,2,2,4,Don't know,Yes,Yes,2,Yes,2,Yes,Yes,Yes,No,2,1
2023-04-09 20:10:18,Beverly Lozano,21-30,Male,Once or twice a month,Study,1,2,5,1,2,1,Yes,Yes,Yes,5,Yes,1,Yes,Yes,Yes,No,2,4
2023-04-10 04:20:56,Richard Price,21-30,Male,Once or twice a week,Study,1,2,1,1,1,2,Yes,Yes,Yes,5,Yes,1,Yes,Yes,Yes,No,1,1
2023-04-10 14:39:02,Jean Robinson,<20,Male,Everday,Study,2,1,1,3,1,1,Don't know,Yes,Yes,5,Yes,2,No,Yes,Yes,Yes,2,1
2023-04-10 17:44:15,Todd Willis,50+,Male,Everday,Study,1,2,1,3,1,2,Yes,Yes,Yes,5,Yes,1,Yes,Yes,No,No,1,1
2023-04-10 22:19:22,James Young,50+,Male,Everday,Leisure,3,1,1,3,2,1,No,Yes,Yes,5,Yes,1,Yes,Yes,Yes,No,1,1
2023-04-11 03:24:52,Cody Brown,50+,Female,Everday,Leisure,2,3,2,2,3,2,Yes,Yes,Yes,5,Yes,4,Yes,Yes,Yes,No,4,1
2023-04-11 18:36:40,Carrie Bishop,<20,Male,Everday,Leisure,1,4,2,5,2,3,Yes,Yes,Yes,5,Yes,3,Yes,Don't know,Yes,No,2,1
2023-04-12 03:38:51,Michele Hunt,<20,Male,Everday,Study,1,1,3,5,1,1,Yes,Don't know,Yes,5,Yes,3,Yes,Yes,Yes,Don't know,2,1
2023-04-12 05:30:21,Shawn Gomez,<20,Male,Everday,Study,3,2,2,2,1,2,Yes,Yes,Yes,4,Yes,1,Yes,Yes,Yes,Yes,2,2
2023-04-13 19:38:00,Mark Black,<20,Male,Everday,Work,1,1,1,1,2,7,Yes,Yes,Yes,5,Yes,0,Yes,Yes,Yes,No,2,1
2023-04-13 23:24:27,Tina Spears,<20,Male,Once or twice a week,Leisure,1,1,2,2,1,3,Yes,Yes,Yes,3,No,2,No,Don't know,Yes,No,1,3
2023-04-14 04:05:32,Lauren Henry,<20,Male,Once or twice a year,Study,1,2,3,2,3,3,Yes,Yes,Yes,5,Yes,2,Don't know,Don't know,Yes,Yes,2,4
2023-04-14 05:10:05,Cindy Adams,<20,Female,Once or twice a year,Entertainment ,3,1,1,3,2,4,Don't know,No,Yes,5,Yes,3,Don't know,No,No,No,2,1
2023-04-14 06:46:31,Christopher Smith,<20,Male,Once or twice a year,Leisure,2,3,2,3,2,2,Don't know,Yes,Yes,5,Maybe,2,Yes,Yes,No,Don't know,2,1
2023-04-15 11:45:43,Brenda Buchanan,<20,Male,Once or twice a week,Work,2,2,1,2,1,1,Yes,Yes,Yes,0,Yes,5,Yes,Yes,Yes,No,1,1
2023-04-17 14:51:15,Tracy Sanders,<20,Male,Once or twice a month,Leisure,1,1,1,3,2,1,No,Yes,Yes,5,No,2,Don't know,Yes,Yes,No,2,1
2023-04-17 15:17:07,Jody Morgan,<20,Male,Once or twice a year,Entertainment ,5,2,2,3,2,6,Don't know,Don't know,Yes,3,Maybe,3,Don't know,Don't know,No,Don't know,2,2
2023-04-18 04:30:36,Stephen Norton,21-30,Male,Everday,Study,1,2,1,2,2,1,Yes,Yes,Yes,5,Yes,1,Yes,Yes,Yes,No,1,1
2023-04-18 09:59:34,Jesus Nguyen,<20,Male,Once or twice a week,Work,2,2,1,3,1,3,Don't know,Yes,Yes,0,Maybe,2,Yes,Don't know,No,No,2,1
2023-04-18 20:02:34,Andrew Wood,<20,Male,Once or twice a week,Study,1,3,2,1,2,3,Yes,Yes,Yes,4,Yes,3,Yes,No,Yes,Don't know,1,2
2023-04-19 00:50:00,Joseph Lopez,<20,Male,Once or twice a year,Leisure,6,2,3,5,2,3,Yes,Yes,Yes,2,Yes,2,Yes,Yes,Yes,No,1,1
2023-04-21 03:14:06,Michael Fitzgerald,<20,Male,Everday,Study,3,3,2,2,2,2,Yes,Yes,Yes,5,Maybe,2,No,No,Yes,Yes,2,2
2023-04-21 17:46:01,Scott Scott,<20,Male,Once or twice a year,Leisure,2,3,2,2,2,5,Don't know,No,Yes,4,Maybe,3,Don't know,Don't know,No,Don't know,3,2
2023-04-21 20:46:40,Micheal Williams,<20,Male,Once or twice a month,Leisure,1,1,1,1,1,3,Yes,Yes,Yes,5,Yes,2,Yes,No,Yes,No,1,1
2023-04-22 06:12:03,Andrea Murray,<20,Male,Once or twice a year,University ,4,4,1,3,2,1,Don't know,Don't know,Yes,2,Maybe,3,Don't know,Don't know,Yes,No,1,2
2023-04-22 20:20:50,Amber Lamb,<20,Female,Once or twice a year,Leisure,4,2,3,1,2,3,Don't know,No,No,4,Maybe,2,Don't know,Don't know,No,Don't know,3,2
2023-04-23 10:40:09,Julia Wilson,<20,Male,Everday,Leisure,1,2,1,2,1,5,Yes,Yes,Yes,2,No,4,Don't know,Don't know,No,No,3,1
2023-04-23 22:29:35,Brett Cannon,<20,Male,Everday,Study,2,1,1,1,1,2,Yes,Yes,Yes,5,Yes,1,Yes,Yes,Yes,Yes,2,1
2023-04-23 23:51:32,Thomas Alexander,<20,Male,Once or twice a month,Work,1,2,1,2,1,1,Yes,Yes,Yes,5,Yes,1,Yes,Yes,Yes,Don't know,1,1
2023-04-24 00:48:02,Jeffery Fischer,<20,Male,Everday,Study,1,6,2,3,2,2,Yes,Yes,Yes,3,Yes,3,No,Yes,Yes,Don't know,2,1
2023-04-24 11:44:02,Amanda White,<20,Male,Everday,Study,4,1,1,2,5,2,Yes,Yes,Yes,5,Yes,2,Yes,Yes,Yes,No,1,1
2023-04-25 04:49:13,Carl Pitts DVM,<20,Male,Once or twice a month,Study,1,2,1,2,1,2,Yes,Yes,Yes,1,Yes,1,Yes,Yes,Yes,No,2,1
2023-04-25 14:51:07,Jeffrey Hawkins,<20,Female,Once or twice a month,Study,2,3,1,1,2,2,Yes,Yes,Yes,5,Yes,3,Yes,Yes,Yes,No,1,3
2023-04-25 15:01:44,Joshua Harris,<20,Male,Everday,Study,1,2,1,2,2,2,Yes,Yes,Yes,5,Yes,2,Yes,Yes,Yes,No,1,1
2023-04-25 17:05:40,Jeremy Jacobs,21-30,Female,Everday,Study,1,1,1,1,1,2,Yes,Yes,Yes,4,Yes,1,Yes,Yes,Yes,Don't know,1,1
2023-04-26 10:38:51,Debbie Hall,<20,Male,Once or twice a year,Study,1,3,2,1,2,4,No,Don't know,Yes,5,Maybe,1,Don't know,Yes,Don't know,No,3,1
2023-04-27 00:41:24,Richard Garcia,<20,Male,Once or twice a week,Study,1,4,1,2,2,3,Yes,Yes,Yes,5,Yes,2,Yes,Yes,Yes,No,1,1
2023-04-27 14:07:33,Danielle Mitchell,21-30,Male,Once or twice a week,Study,1,4,1,2,1,2,Yes,Yes,Yes,2,Yes,2,Yes,Don't know,Yes,No,2,2
2023-04-27 16:14:43,Mary Harmon,<20,Female,Once or twice a month,Work,3,2,2,5,4,3,Don't know,Yes,Yes,3,Yes,3,Don't know,Yes,No,Don't know,2,4
2023-04-28 18:28:37,Shannon Martinez,<20,Male,Once or twice a year,Leisure,1,5,0,5,2,3,Don't know,Don't know,Yes,3,Maybe,4,Don't know,Don't know,Yes,No,2,2
2023-04-29 04:25:49,Bailey Mclaughlin,<20,Female,Once or twice a year,Leisure,6,3,2,2,2,4,Don't know,No,Yes,5,Maybe,3,Don't know,Don't know,Don't know,Don't know,2,3
2023-04-29 11:49:14,Michael Warner,<20,Male,Once or twice a month,Work,2,2,3,3,2,6,Don't know,No,Yes,2,No,3,Don't know,Yes,Don't know,No,2,4
2023-04-29 11:51:39,Connie Decker,<20,Female,Once or twice a year,Leisure,5,5,1,3,2,2,Don't know,No,No,5,Maybe,6,Don't know,No,No,Yes,1,2
2023-04-29 19:30:52,Joseph Leonard,21-30,Female,Once or twice a month,Work,1,1,2,3,2,4,Don't know,Yes,Yes,5,Maybe,1,No,No,No,No,2,4
2023-04-30 06:46:54,Mark Mitchell,<20,Male,Everday,Leisure,3,1,1,2,2,3,Yes,Don't know,Yes,5,Yes,2,No,Yes,Yes,No,2,1
2023-04-30 10:19:21,Robert Tran,21-30,Male,Everday,Study,1,1,1,1,1,1,Yes,Yes,Yes,3,Yes,2,Yes,Yes,Yes,No,1,1
2023-05-01 12:43:55,Kevin Johnson,<20,Male,Once or twice a month,Study,1,4,2,2,2,2,Yes,Yes,Yes,5,Maybe,1,No,Yes,Yes,No,1,1
2023-05-01 14:58:30,James Daugherty,<20,Male,Everday,Study,2,2,1,0,1,5,Yes,Yes,Yes,5,Yes,1,Yes,No,Yes,No,1,1
2023-05-01 15:16:06,Angela Hubbard,<20,Male,Everday,Work,2,0,1,1,2,1,Yes,Yes,Yes,1,Yes,3,Yes,Yes,Yes,No,1,1
2023-05-02 07:13:36,Patricia Hudson,<20,Male,Once or twice a month,Leisure,2,2,2,3,3,5,Don't know,No,Yes,5,Maybe,2,Don't know,Don't know,No,Don't know,3,2
2023-05-03 10:27:10,Cindy Oconnor,<20,Male,Once or twice a week,Leisure,2,2,2,2,2,6,Don't know,No,Yes,4,Maybe,3,No,Yes,Yes,Yes,2,4
2023-05-03 13:03:04,Olivia Gomez,<20,Male,Once or twice a week,Entertainment ,1,3,1,3,2,2,Don't know,No,No,5,Maybe,3,Don't know,Don't know,Don't know,Yes,2,2
2023-05-04 11:12:16,Lori Lester,21-30,Male,Everday,Work,1,2,1,3,2,2,No,Yes,Yes,5,Yes,2,Yes,Yes,Yes,No,1,1
2023-05-04 19:49:56,Roy Fox,<20,Male,Everday,Work,1,2,4,3,1,3,Yes,No,Yes,5,Yes,3,Yes,Yes,Yes,No,3,1
2023-05-05 01:26:52,Jesus Smith,<20,Female,Once or twice a month,Entertainment ,1,1,1,3,5,6,Yes,Yes,Yes,4,Yes,1,No,No,Yes,Don't know,2,1
2023-05-05 15:12:19,Matthew Guerrero,<20,Male,Everday,Study,1,3,1,1,1,2,Yes,Yes,Yes,0,Yes,2,Yes,Yes,Yes,Yes,1,1
2023-05-05 20:20:57,Troy Castillo MD,<20,Male,Once or twice a month,Work,1,4,1,1,1,1,Yes,Yes,Yes,5,Yes,1,Yes,Yes,Yes,No,1,1
2023-05-05 20:29:33,Deanna Munoz,<20,Female,Once or twice a year,Work,1,0,1,2,1,4,Yes,Yes,Yes,1,Maybe,3,Yes,Yes,Yes,No,1,1
